,Name,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Soil Type,Soil pH,Soil Drainage,Characteristics,Tolerance,Garden Uses,Garden Styles
0,Abelia 'Edward Goucher',"6
– 9","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2",Shrubs,Abelia,"Full Sun, Partial Sun","Summer (Mid,Late)","3'
– 5'
(90cm
– 150cm)","3'
– 5'
(90cm
– 150cm)",Average,"Chalk, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Fragrant, Showy, Semi-Evergreen",Deer,"Beds and Borders,Hedges and Screens,Patio and Containers","City and Courtyard,Informal and Cottage,Traditional Garden"
1,Abelia × grandiflora 'Kaleidoscope' (Glossy Abelia),"6
– 9","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2",Shrubs,Abelia,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","3'
– 4'
(90cm
– 120cm)",Average,"Chalk, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Fragrant, Showy, Semi-Evergreen","Deer, Drought","Beds and Borders,Hedges and Screens,Patio and Containers,Small Gardens","City and Courtyard,Informal and Cottage,Traditional Garden"
2,Abelia × grandiflora 'Mardi Gras' (Glossy Abelia),"6
– 9","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2",Shrubs,Abelia,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","4'
– 5'
(120cm
– 150cm)",Average,"Chalk, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Fragrant, Showy, Semi-Evergreen","Deer, Drought","Beds and Borders,Hedges and Screens,Patio and Containers","City and Courtyard,Informal and Cottage,Traditional Garden"
3,Abelia × grandiflora 'Radiance' (Glossy Abelia),"6
– 9","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2",Shrubs,Abelia,"Full Sun, Partial Sun","Summer (Mid,Late)","2'
– 3'
(60cm
– 90cm)","4'
– 5'
(120cm
– 150cm)",Average,"Chalk, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Fragrant, Showy, Semi-Evergreen",Deer,"Beds and Borders,Hedges and Screens,Patio and Containers","City and Courtyard,Informal and Cottage,Traditional Garden"
4,Abelia × grandiflora (Glossy Abelia),"6
– 9","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2",Shrubs,Abelia,"Full Sun, Partial Sun",Spring (Late),"3'
– 6'
(90cm
– 180cm)","3'
– 6'
(90cm
– 180cm)",Average,"Chalk, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Fragrant, Showy, Semi-Evergreen",Deer,"Beds and Borders,Hedges and Screens,Wall-Side Borders","City and Courtyard,Informal and Cottage,Traditional Garden"
5,Abelia x grandiflora 'Hopleys' (Glossy Abelia),"6
– 9","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2",Shrubs,Abelia,"Full Sun,  Partial Sun","Summer (Mid,Late)","4'
– 5'
(120cm
– 150cm)","4'
– 5'
(120cm
– 150cm)",Average,"Chalk, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Fragrant, Showy, Semi-Evergreen",Deer,"Beds and Borders,Hedges and Screens,Patio and Containers","City and Courtyard,Informal and Cottage,Traditional Garden"
6,Abies amabilis 'Spreading Star' (Pacific Silver Fir),"6
– 8","2, 2B, 3,  3A, 3B, 4, 5, 6, 7, 15, 16, 17","Conifers, Shrubs",Abies - Firs,"Full Sun, Partial Sun, Shade","Spring (Early,Mid,Late)","2'
– 3'
(60cm
– 90cm)","5'
– 6'
(150cm
– 180cm)",Average,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Showy, Evergreen",,"Beds and Borders,Ground Covers,Small Gardens","City and Courtyard,Gravel and Rock Garden,Informal and Cottage,Traditional Garden"
7,Abies balsamea (Hudsonia Group) 'Nana' (Balsam Fir),"3
– 6","1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 15, 16, 17, A3","Conifers, Shrubs",Abies - Firs,Full Sun,"Spring (Early,Mid,Late)","1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)",Average,"Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Fragrant, Plant of Merit, Showy, Evergreen",,"Beds and Borders,Patio and Containers,Small Gardens","City and Courtyard,Gravel and Rock Garden,Informal and Cottage,Traditional Garden"
8,Abies concolor 'Archer’s Dwarf' (White Fir),"4
– 7","2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, A2, A3","Conifers,  Shrubs, Trees",Abies - Firs,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","3'
– 6'
(90cm
– 180cm)","2'
– 3'
(60cm
– 90cm)",Average,"Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Showy, Evergreen","Deer, Drought","Beds and Borders,Patio and Containers","City and Courtyard,Gravel and Rock Garden,Informal and Cottage,Traditional Garden"
9,Abies concolor 'Hosta la Vista' (White Fir),"4
– 7","2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, A2, A3","Conifers,  Shrubs",Abies - Firs,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)",Average,"Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Showy, Evergreen, Fruit & Berries","Deer, Drought","Beds and Borders,Patio and Containers,Small Gardens","City and Courtyard,Gravel and Rock Garden,Informal and Cottage,Traditional Garden"
10,Abies koreana 'Alpin Star' (Korean Fir),"5
– 7","3, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Conifers, Shrubs",Abies - Firs,Full Sun,"Spring (Early,Mid,Late)","1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)",Average,"Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Showy, Evergreen","Deer, Drought","Beds and Borders,Patio and Containers,Small Gardens","Gravel and Rock Garden,Informal and Cottage,Traditional Garden"
11,Abies koreana 'Aurea' (Korean Fir),"5
– 7","3, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Conifers, Shrubs, Trees",Abies - Firs,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","20'
– 25'
(6m
– 7.5m)","10'
– 15'
(3m
– 4.5m)",Average,"Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Showy, Evergreen, Fruit & Berries","Deer, Drought",Beds and Borders,"Informal and Cottage,Traditional Garden"
12,Abies koreana 'Blauer Eskimo' (Korean Fir),"5
– 7","3, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Conifers, Shrubs",Abies - Firs,Full Sun,"Spring (Early,Mid,Late)","1'
– 2'
(30cm
– 60cm)","10""
– 1'
(25cm
– 30cm)",Average,"Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Plant of Merit, Showy, Evergreen","Deer, Drought","Beds and Borders,Patio and Containers,Small Gardens","Gravel and Rock Garden,Informal and Cottage,Traditional Garden"
13,Abies koreana 'Green Carpet' (Korean Fir),"5
– 7","3, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Conifers, Shrubs",Abies - Firs,Full Sun,"Spring (Early,Mid,Late)","1'
– 2'
(30cm
– 60cm)","5'
– 6'
(150cm
– 180cm)",Average,"Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Showy, Evergreen, Fruit & Berries","Deer, Drought","Beds and Borders,Ground Covers,Patio and Containers,Small Gardens","Gravel and Rock Garden,Informal and Cottage,Traditional Garden"
14,Abies koreana 'Kohout's Ice Breaker' (Korean Fir),"5
– 7","3, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20,  21, 22, 23, 24","Conifers, Shrubs, Trees",Abies - Firs,Full Sun,"Spring (Early,Mid,Late)","1'
– 2'
(30cm
– 60cm)","2'
– 3'
(60cm
– 90cm)",Average,"Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Plant of Merit, Showy, Evergreen","Deer, Drought","Beds and Borders,Patio and Containers,Small Gardens","Gravel and Rock Garden,Informal and Cottage,Traditional Garden"
15,Abies koreana 'Silberperle' (Korean Fir),"5
– 7","3, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Conifers, Shrubs",Abies - Firs,Full Sun,"Spring (Early,Mid,Late)","1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)",Average,"Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Showy, Evergreen","Deer, Drought","Beds and Borders,Patio and Containers,Small Gardens","Gravel and Rock Garden,Informal and Cottage,Traditional Garden"
