Name,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Soil Type,Soil pH,Soil Drainage,Characteristics,Tolerance,Garden Uses,Garden Styles,Min-Height(feet),Max-Height(feet),Min-Height(cm),Max-Height(cm),Min-Spread(feet),Max-Spread(feet),Min-Spread(cm),Max-Spread(cm),Hardiness(Min),Hardiness(Max)
abelia edward goucher,"6
– 9",0,shrubs,0,"full sun, partial sun",0,"3'
– 5'
(90cm
– 150cm)","3'
– 5'
(90cm
– 150cm)",average,0,,moist but well-drained,0,deer,beds and bordershedges and screenspatio and containers,city and courtyardinformal and cottagetraditional garden,0,0,0,0,3,5,90,150.0,0,0
abelia  grandiflora kaleidoscope glossy abelia,"6
– 9",0,shrubs,0,"full sun, partial sun",1,"2'
– 3'
(60cm
– 90cm)","3'
– 4'
(90cm
– 120cm)",average,0,,moist but well-drained,0,"deer, drought",beds and bordershedges and screenspatio and containerssmall gardens,city and courtyardinformal and cottagetraditional garden,1,1,1,1,3,4,90,120.0,0,0
abelia  grandiflora mardi gras glossy abelia,"6
– 9",0,shrubs,0,"full sun, partial sun",1,"2'
– 3'
(60cm
– 90cm)","4'
– 5'
(120cm
– 150cm)",average,0,,moist but well-drained,0,"deer, drought",beds and bordershedges and screenspatio and containers,city and courtyardinformal and cottagetraditional garden,1,1,1,1,4,5,120,150.0,0,0
abelia  grandiflora radiance glossy abelia,"6
– 9",0,shrubs,0,"full sun, partial sun",0,"2'
– 3'
(60cm
– 90cm)","4'
– 5'
(120cm
– 150cm)",average,0,,moist but well-drained,0,deer,beds and bordershedges and screenspatio and containers,city and courtyardinformal and cottagetraditional garden,1,1,1,1,4,5,120,150.0,0,0
abelia  grandiflora glossy abelia,"6
– 9",0,shrubs,0,"full sun, partial sun",1,"3'
– 6'
(90cm
– 180cm)","3'
– 6'
(90cm
– 180cm)",average,0,,moist but well-drained,0,deer,beds and bordershedges and screenswall-side borders,city and courtyardinformal and cottagetraditional garden,0,2,0,2,3,6,90,180.0,0,0
abelia x grandiflora hopleys glossy abelia,"6
– 9",0,shrubs,0,"full sun,  partial sun",0,"4'
– 5'
(120cm
– 150cm)","4'
– 5'
(120cm
– 150cm)",average,0,,moist but well-drained,0,deer,beds and bordershedges and screenspatio and containers,city and courtyardinformal and cottagetraditional garden,2,0,2,0,4,5,120,150.0,0,0
abies concolor archers dwarf white fir,"4
– 7",1,"conifers,  shrubs, trees",1,"full sun, partial sun",2,"3'
– 6'
(90cm
– 180cm)","2'
– 3'
(60cm
– 90cm)",average,1,,moist but well-drained,1,"deer, drought",beds and borderspatio and containers,city and courtyardgravel and rock gardeninformal and cottagetraditional garden,0,2,0,2,2,3,60,90.0,1,1
abies concolor hosta la vista white fir,"4
– 7",1,"conifers,  shrubs",1,"full sun, partial sun",2,"1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)",average,1,,moist but well-drained,2,"deer, drought",beds and borderspatio and containerssmall gardens,city and courtyardgravel and rock gardeninformal and cottagetraditional garden,3,3,3,3,1,2,30,60.0,1,1
abies koreana alpin star korean fir,"5
– 7",2,"conifers, shrubs",1,full sun,2,"1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)",average,1,,moist but well-drained,1,"deer, drought",beds and borderspatio and containerssmall gardens,gravel and rock gardeninformal and cottagetraditional garden,3,3,3,3,1,2,30,60.0,2,1
abies koreana aurea korean fir,"5
– 7",2,"conifers, shrubs, trees",1,"full sun, partial sun",2,"20'
– 25'
(6m
– 7.5m)","10'
– 15'
(3m
– 4.5m)",average,1,,moist but well-drained,2,"deer, drought",beds and borders,informal and cottagetraditional garden,4,4,4,4,10,15,300,450.0,2,1
abies koreana blauer eskimo korean fir,"5
– 7",2,"conifers, shrubs",1,full sun,2,"1'
– 2'
(30cm
– 60cm)","10""
– 1'
(25cm
– 30cm)",average,1,,moist but well-drained,3,"deer, drought",beds and borderspatio and containerssmall gardens,gravel and rock gardeninformal and cottagetraditional garden,3,3,3,3,10,1,25,30.0,2,1
abies koreana green carpet korean fir,"5
– 7",2,"conifers, shrubs",1,full sun,2,"1'
– 2'
(30cm
– 60cm)","5'
– 6'
(150cm
– 180cm)",average,1,,moist but well-drained,2,"deer, drought",beds and bordersground coverspatio and containerssmall gardens,gravel and rock gardeninformal and cottagetraditional garden,3,3,3,3,5,6,150,180.0,2,1
abies koreana kohouts ice breaker korean fir,"5
– 7",3,"conifers, shrubs, trees",1,full sun,2,"1'
– 2'
(30cm
– 60cm)","2'
– 3'
(60cm
– 90cm)",average,1,,moist but well-drained,3,"deer, drought",beds and borderspatio and containerssmall gardens,gravel and rock gardeninformal and cottagetraditional garden,3,3,3,3,2,3,60,90.0,2,1
abies koreana silberperle korean fir,"5
– 7",2,"conifers, shrubs",1,full sun,2,"1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)",average,1,,moist but well-drained,1,"deer, drought",beds and borderspatio and containerssmall gardens,gravel and rock gardeninformal and cottagetraditional garden,3,3,3,3,1,2,30,60.0,2,1
abies koreana silver show korean fir,"5
– 7",2,"conifers, shrubs,  trees",1,full sun,2,"10'
– 12'
(3m
– 3.6m)","6'
– 8'
(180cm
– 240cm)",average,1,,moist but well-drained,2,"deer, drought",beds and borders,informal and cottagetraditional garden,5,5,5,5,6,8,180,240.0,2,1
abies nordmanniana golden spreader caucasian fir,"4
– 6",4,"conifers, shrubs, trees",1,"full sun, partial sun",2,"2'
– 3'
(60cm
– 90cm)","4'
– 5'
(120cm
– 150cm)",average,1,,moist but well-drained,4,deer,beds and borderspatio and containers,city and courtyardgravel and rock gardeninformal and cottagetraditional garden,1,1,1,1,4,5,120,150.0,1,2
abutilon lucky lantern red flowering maple,"8
– 10",5,shrubs,2,"full sun, partial sun",3,"10""
– 1'
(25cm
– 30cm)","10""
– 1'
(25cm
– 30cm)",average,2,,"moist but well-drained, well-drained",5,drought,beds and bordershanging basketspatio and containers,mediterranean garden,5,6,6,6,10,1,25,30.0,3,3
abutilon lucky lantern tangerine flowering maple,"8
– 10",5,shrubs,2,"full sun, partial sun",3,"10""
– 1'
(25cm
– 30cm)","10""
– 1'
(25cm
– 30cm)",average,2,,"moist but well-drained, well-drained",5,drought,beds and bordershanging basketspatio and containers,mediterranean garden,5,6,6,6,10,1,25,30.0,3,3
abutilon lucky lantern white flowering maple,"8
– 10",5,shrubs,2,"full sun, partial sun",3,"10""
– 1'
(25cm
– 30cm)","10""
– 1'
(25cm
– 30cm)",average,2,,"moist but well-drained, well-drained",5,drought,beds and bordershanging basketspatio and containers,mediterranean garden,5,6,6,6,10,1,25,30.0,3,3
abutilon lucky lantern yellow flowering maple,"8
– 10",5,shrubs,2,"full sun, partial sun",3,"10""
– 1'
(25cm
– 30cm)","10""
– 1'
(25cm
– 30cm)",average,2,,"moist but well-drained, well-drained",5,drought,beds and bordershanging basketspatio and containers,mediterranean garden,5,6,6,6,10,1,25,30.0,3,3
acacia baileyana purpurea cootamundra wattle,"10
– 11",6,"shrubs, trees",3,full sun,2,"20'
– 30'
(6m
– 9m)","20'
– 30'
(6m
– 9m)",average,2,,moist but well-drained,6,deer,banks and slopeswall-side borders,mediterranean garden,4,7,4,7,20,30,600,900.0,4,4
acacia baileyana cootamundra wattle,"10
– 11",6,"shrubs, trees",3,full sun,2,"20'
– 30'
(6m
– 9m)","20'
– 40'
(6m
– 12m)",average,2,,moist but well-drained,3,deer,banks and slopeswall-side borders,mediterranean garden,4,7,4,7,20,40,600,1200.0,4,4
acacia craspedocarpa leatherleaf acacia,"8
– 11",7,"shrubs, trees",3,full sun,2,"12'
– 15'
(3.6m
– 4.5m)","12'
– 15'
(3.6m
– 4.5m)",low,2,,well-drained,1,"deer, drought, salt",hedges and screenswall-side borders,city and courtyardcoastal gardeninformal and cottagemediterranean garden,6,8,7,8,12,15,360,450.0,3,4
acacia dealbata silver wattle,"9
– 11",8,"shrubs, trees",3,full sun,2,"40'
– 50'
(12m
– 15m)","40'
– 50'
(12m
– 15m)",low,2,,well-drained,6,"deer, drought",banks and slopesbeds and borderspatio and containerswall-side borders,city and courtyardinformal and cottagemediterranean garden,7,9,8,9,40,50,1200,1500.0,5,4
acacia farnesiana sweet acacia,"9
– 11",9,"shrubs, trees",3,"full sun, partial sun",4,"15'
– 20'
(4.5m
– 6m)","15'
– 20'
(4.5m
– 6m)","low, average",2,,"moist but well-drained, well-drained",7,"deer, drought, dry soil, salt",hedges and screens,mediterranean garden,8,10,9,10,15,20,450,600.0,5,4
acacia retinodes swamp wattle,"10
– 11",6,"shrubs, trees",3,full sun,2,"15'
– 20'
(4.5m
– 6m)","10'
– 15'
(3m
– 4.5m)",average,2,,"moist but well-drained, well-drained",3,deer,wall-side borders,city and courtyardcoastal gardenmediterranean garden,8,10,9,10,10,15,300,450.0,4,4
acer circinatum vine maple,"6
– 9",10,"shrubs, trees",4,"full sun, partial sun",5,"15'
– 25'
(4.5m
– 7.5m)","15'
– 20'
(4.5m
– 6m)",average,3,,moist but well-drained,8,deer,rain gardens,informal and cottageprairie and meadow,8,4,9,4,15,20,450,600.0,0,0
acer ginnala amur maple,"3
– 7",11,"shrubs, trees",4,"full sun, partial sun",2,"15'
– 20'
(4.5m
– 6m)","15'
– 20'
(4.5m
– 6m)",average,4,,"moist but well-drained,  well-drained",8,"clay soil, drought, dry soil",patio and containers,city and courtyardgravel and rock gardeninformal and cottage,8,10,9,10,15,20,450,600.0,6,1
acer palmatum aka kawa hime coral bark maple,"5
– 9",12,"shrubs, trees",4,"full sun, partial sun",2,"7'
– 9'
(210cm
– 270cm)","5'
– 6'
(150cm
– 180cm)",average,4,,moist but well-drained,8,rabbit,beds and borderspatio and containerssmall gardens,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,9,11,10,11,5,6,150,180.0,2,0
acer palmatum ariadne japanese maple,"5
– 9",13,"shrubs, trees",4,"full sun, partial sun",2,"6'
– 10'
(180cm
– 3m)","10'
– 12'
(3m
– 3.6m)",average,4,,moist but well-drained,9,rabbit,beds and borderspatio and containerssmall gardens,city and courtyardinformal and cottagejapanese gardentraditional garden,10,12,11,12,10,12,300,360.0,2,0
acer palmatum benikawa coral bark maple,"5
– 9",12,"shrubs, trees",4,"full sun, partial sun",2,"5'
– 15'
(150cm
– 4.5m)","5'
– 15'
(150cm
– 4.5m)",average,4,,moist but well-drained,8,rabbit,beds and borderspatio and containers,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,11,8,12,8,5,15,150,450.0,2,0
acer palmatum benimaiko japanese maple,"5
– 8",12,"shrubs, trees",4,"full sun, partial sun",2,"4'
– 6'
(120cm
– 180cm)","4'
– 6'
(120cm
– 180cm)",average,4,,moist but well-drained,9,rabbit,beds and borderspatio and containerssmall gardens,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,2,2,2,2,4,6,120,180.0,2,5
acer palmatum benitsukasa japanese maple,"5
– 9",14,shrubs,4,"full sun, partial sun",2,"10'
– 12'
(3m
– 3.6m)","10'
– 12'
(3m
– 3.6m)",average,4,,moist but well-drained,9,rabbit,beds and borderspatio and containerssmall gardens,city and courtyardinformal and cottagejapanese gardentraditional garden,5,5,5,5,10,12,300,360.0,2,0
acer palmatum bloodgood japanese maple,"5
– 8",12,"shrubs, trees",4,"full sun, partial sun",2,"15'
– 20'
(4.5m
– 6m)","15'
– 20'
(4.5m
– 6m)",average,4,,moist but well-drained,9,rabbit,beds and borderspatio and containers,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,8,10,9,10,15,20,450,600.0,2,5
acer palmatum butterfly japanese maple,"5
– 8",15,"shrubs, trees",4,partial sun,2,"7'
– 12'
(210cm
– 3.6m)","4'
– 8'
(120cm
– 240cm)",average,1,,moist but well-drained,8,rabbit,beds and borderspatio and containerssmall gardens,city and courtyardinformal and cottagejapanese gardentraditional garden,9,5,10,5,4,8,120,240.0,2,5
